Feature,Mean Importance,Lower Bound,Upper Bound
X0,0.011467502139358769,0.006388346238360189,0.016546658040357348
X5,0.011511011148385375,0.005139629209158097,0.017882393087612653
X2,0.021629963714057114,0.012702701830185067,0.03055722559792916
X3,0.03162720116142141,0.017824754192054818,0.045429648130788015
X4,0.03187265445344642,0.02407105953692671,0.039674249369966136
X1,0.09471573534200622,0.0634557000179244,0.12597577066608806
X7,0.3201425865878138,0.2771356472889729,0.3631495258866548
X6,0.47703334545351084,0.4204051447180519,0.5336615461889699
